paper,concept,relevance
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,high-k dielectrics,0.95
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,hfo2,0.93
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,interfacial layer,0.9
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,mosfet scaling,0.88
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,tem analysis,0.85
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,gate stack,0.85
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,si substrate,0.83
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,atomic layer deposition,0.82
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,electron energy loss spectroscopy,0.8
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,sio2 interfacial layer,0.8
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,metal gate,0.78
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,eels mapping,0.77
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,crystallization,0.75
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,oxide thickness,0.73
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,leakage current,0.72
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,dielectric constant,0.7
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,annealing,0.68
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,haadf-stem,0.67
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,band offset,0.65
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,equivalent oxide thickness,0.63
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,6h-sic,1.0
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,(2110)(0001) slip,0.96
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,slip system,0.95
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,deformation kinks,0.95
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,silicon carbide,0.93
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,stacking faults,0.92
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,crack propagation,0.9
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,crack nucleation,0.88
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,kink formation mechanism,0.88
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,transmission electron microscopy,0.87
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,deformation-induced defects,0.85
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,(0001) basal plane,0.85
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,dislocation mechanism,0.82
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,strain rate,0.8
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,high-temperature deformation,0.8
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,deformation tests,0.78
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,optical microscopy,0.75
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,temperature dependence,0.75
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,crystal orientation,0.72
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,plastic deformation,0.7
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,in0.6ga0.4as/gaas,1.0
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,semiconductor quantum dots,1.0
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,high-resolution electron microscopy,0.95
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,image simulation,0.92
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,on-zone bright-field imaging,0.9
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,quantum dot morphology,0.9
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,lens-shaped quantum dots,0.88
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,cross-section imaging,0.82
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,buried heterostructures,0.8
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,〈110〉 cross-section,0.78
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,[001] on-zone,0.76
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,〈100〉 edges,0.72
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,spherical quantum dot,0.7
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,square-shaped contrast,0.68
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,capped quantum dots,0.67
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,ingaas heterostructure,0.65
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,bright-field contrast,0.63
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,gaas matrix,0.6
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,dot shape determination,0.58
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,hrem imaging,0.55
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,transmission electron microscopy,1.0
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,nanoparticles,0.93
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,atomic-resolution imaging,0.92
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,nanocrystals,0.91
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,in situ tem,0.9
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,electron energy-loss spectroscopy,0.89
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,nanophase materials,0.87
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,crystal structure,0.85
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,surface structure,0.84
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,shape-controlled nanocrystals,0.83
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,electron probe,0.81
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,structural determination,0.8
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,valence state mapping,0.79
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,electronic structure,0.78
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,nanocrystal assemblies,0.76
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,solid-state effects,0.74
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,nanostructures,0.73
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,thermodynamic properties,0.71
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,mechanical properties,0.69
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,structure-property relationship,0.68
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,algan/gan,1.0
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,high-electron mobility transistors,1.0
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,inverse piezoelectric effect,0.97
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,dc bias stress,0.93
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,transmission electron microscopy,0.92
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,channel temperature,0.89
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,crystal defects,0.88
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,pit-shaped defects,0.87
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,crack defects,0.85
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,drain-side gate edge,0.84
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,electrical degradation,0.83
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,idmax,0.82
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,physical damage,0.8
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,algan layer,0.78
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,gan,0.76
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,piezoelectric strain,0.75
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,device reliability,0.72
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,gate degradation,0.7
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,hemt,0.68
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,bias stress,0.65
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,2d layered materials,1.0
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,transmission electron microscopy,1.0
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,in situ tem,1.0
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,mems techniques,0.85
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,microelectromechanical systems,0.84
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,atomic-scale characterization,0.83
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,graphene,0.82
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,nanodevices,0.8
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,structure-property relationship,0.79
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,thin-film techniques,0.78
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,dynamic manipulation,0.77
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,ultra-thin materials,0.76
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,spatial resolution,0.75
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,external stimuli,0.72
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,liquid/gas environment tem,0.71
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,energy resolution,0.7
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,thermal field,0.68
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,mechanical field,0.67
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,nanoscale probing,0.65
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,high vacuum environment,0.63
Stable Defects in Semiconductor Nanowires,semiconductor nanowires,1.0
Stable Defects in Semiconductor Nanowires,topologically protected line defects,0.98
Stable Defects in Semiconductor Nanowires,null burgers vector,0.97
Stable Defects in Semiconductor Nanowires,burgers circuit method,0.93
Stable Defects in Semiconductor Nanowires,partial dislocations,0.91
Stable Defects in Semiconductor Nanowires,twin facet,0.9
Stable Defects in Semiconductor Nanowires,multiply twinned material,0.89
Stable Defects in Semiconductor Nanowires,vapor-liquid-solid growth,0.88
Stable Defects in Semiconductor Nanowires,self-catalyzed growth,0.86
Stable Defects in Semiconductor Nanowires,vapor-solid shell growth,0.85
Stable Defects in Semiconductor Nanowires,nanowire microstructure,0.84
Stable Defects in Semiconductor Nanowires,cathodoluminescence,0.83
Stable Defects in Semiconductor Nanowires,nonradiative recombination centers,0.82
Stable Defects in Semiconductor Nanowires,crystal growth defects,0.8
Stable Defects in Semiconductor Nanowires,dislocation dipoles,0.78
Stable Defects in Semiconductor Nanowires,long-range strain fields,0.76
Stable Defects in Semiconductor Nanowires,nanowire tip,0.74
Stable Defects in Semiconductor Nanowires,optical emission quenching,0.73
Stable Defects in Semiconductor Nanowires,dislocation locks,0.71
Stable Defects in Semiconductor Nanowires,nanoscale crystals,0.68
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,multi-twin defects,0.97
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,gaas,0.95
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,inp,0.95
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,aspect ratio trapping,0.93
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,defect generation,0.92
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,twin boundaries,0.92
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,si substrates,0.9
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,stacking faults,0.9
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,nanosized trench structures,0.88
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,directional defects,0.88
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,transmission electron microscopy,0.87
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,nanosized patterns,0.86
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,substrate orientation,0.85
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,si patterns,0.84
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,stereographic projection,0.83
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,pole figure,0.82
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,iii-v semiconductors,0.8
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,pattern size dependence,0.79
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,3d computer graphics simulation,0.78
Study of Multi-twin Defects Generated in GaAs and InP Films on Nanopatterned Si via Transmission Electron Microscopy,heteroepitaxy,0.75
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,3d electron tomography,1.0
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,finfet transistors,1.0
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,transmission electron microscopy,0.95
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,failure analysis,0.95
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,scanning transmission electron microscopy,0.92
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,energy dispersive x-ray spectroscopy,0.9
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,eds tomography,0.9
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,tem lamellae,0.87
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,projection artifacts,0.85
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,epitaxial regions,0.85
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,gate materials,0.82
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,defect characterization,0.82
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,high leakage current,0.8
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,semiconductor structures,0.78
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,3d reconstruction,0.78
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,projection effects,0.75
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,device reliability,0.72
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,defect localization,0.7
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,semiconductor failure,0.68
Unlocking Insights into 3D Transistor Defects: The Power of Supplementing TEM with Elemental Electron Tomography,miniaturized semiconductor,0.65
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,cdte solar cells,1.0
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,cdte,0.97
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,defects,0.95
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,aberration-corrected scanning transmission electron microscopy,0.92
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,grain boundaries,0.9
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,electron energy loss spectroscopy,0.88
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,cdte/cds interface,0.88
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,partial dislocations,0.87
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,structure-property correlations,0.86
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,energy dispersive x-ray spectroscopy,0.85
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,electron-beam-induced current,0.85
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,density-functional theory,0.83
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,electrical activity,0.8
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,intra-grain defects,0.78
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,cds,0.75
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,dislocation core structure,0.74
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,heterojunction interface,0.72
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,polycrystalline thin film,0.7
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,electronic structure,0.68
Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity,recombination centers,0.66
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,smart-cut process,1.0
