paper,doi,canonical,paper_term,relevance
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,defect identification,various defects distinguished by thermal imaging,0.82
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,installation scale,megawatt-scale,0.8
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,model validation,experimentally validated evaporation model,0.79
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,study duration,13 months,0.78
Comparative degradation analysis of different photovoltaic technologies on experimentally simulated water bodies and estimation of evaporation loss reduction,10.1002/pip.3370,module type,commercially available PV modules,0.75
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,absorber material,CdTe,1.0
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,back contact material,copper (Cu) back contact,1.0
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,back contact layer thickness,"0.1, 0.5, 1.0, 2.0 nm thick Cu layers",1.0
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,dopant species,copper (Cu),1.0
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,impurity diffusion,Cu fast diffuser in CdTe,0.95
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,dopant concentration,copper quantity / concentration,0.95
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,device degradation,devices degradation,0.95
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,cell architecture,thin film solar cells,0.9
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,stability,stability at the back contact,0.9
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,aging mechanism,aging of the samples,0.9
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,bias dependency inversion,inversion of the bias dependency,0.9
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,device performance,performance of the devices,0.9
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,back contact stability,stability at the back contact,0.88
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,device efficiency,22.1% efficiency record,0.85
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,bias condition,open circuit or short circuit under current flow,0.85
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,degradation mechanism,another degradation mechanism predominates,0.85
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,thin film technology,CdTe based thin film,0.85
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,copper-free back contact,copper-free back contacts,0.8
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,minimum layer thickness,copper layer below a certain thickness,0.8
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,solar cell fabrication,CdTe cells fabricated with Cu layer,0.8
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,open circuit condition,open circuit,0.75
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,short circuit condition,short circuit under current flow,0.75
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,production yield,production yield,0.7
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,competing technology,competing technology with silicon solar cells,0.65
How the amount of copper influences the formation and stability of defects in CdTe solar cells,10.1016/j.solmat.2019.110228,reference cell technology,traditional silicon solar cells,0.65
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,absorber material,CdTe,1.0
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,device type,CdTe solar cells,0.98
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,stress type,short-term thermal stresses,0.97
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,device architecture,thin film solar cells,0.95
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,thermal stress condition,thermal stresses,0.95
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,degradation mode,soft degradation,0.92
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,series resistance,series resistance increase,0.9
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,defect type,crystal defects,0.88
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,characterization method,external quantum efficiency (EQE),0.88
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,defect generation,generation of crystal defects,0.88
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,quantum efficiency measurement,EQE,0.88
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,degradation mechanism,diffusion of copper or oxygen atoms,0.87
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,characterization method,electroluminescence (EL) measurement,0.87
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,luminescence imaging,electroluminescence (EL),0.87
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,diffusing species,copper atoms,0.85
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,physical process,degradation effects,0.85
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,diffusing species,oxygen atoms,0.83
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,stress duration,short-term,0.82
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,reliability assessment,reliability of solar cells,0.8
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,deposition method,physical vapour deposition,0.78
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,substrate material,soda lime glass,0.75
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,measurement type,electrical measurement,0.75
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,measurement type,optical measurement,0.75
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,cell configuration,superstrate configuration,0.72
Reliability investigation on CdTe solar cells submitted to short-term thermal stress,10.1016/j.microrel.2019.113490,film thickness class,thin film,0.7
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,absorber material,cadmium telluride (CdTe),1.0
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,open circuit voltage,open-circuit voltage (VOC),1.0
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,solar cell type,CdTe solar cells,1.0
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,voltage deficit,VOC deficit,0.98
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,front interface,front interface (heterojunction region),0.97
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,interface characterization method,thermomechanical cleaving,0.97
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,layer delamination,delamination,0.93
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,open circuit voltage limit,VOC > 1 V,0.92
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,heterojunction region,heterojunction region,0.9
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,interface limiting factor,interfaces become limiting,0.89
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,device architecture,superstrate configuration,0.88
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,absorber morphology,polycrystalline CdTe,0.88
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,open circuit voltage range,≈800–900 mV,0.88
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,carrier lifetime,carrier lifetime,0.87
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,hole density,hole density,0.86
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,back interface,back interface,0.85
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,absorber opto-electronic properties,absorber opto-electronic properties,0.85
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,device stack,polycrystalline CdTe device stacks,0.83
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,interface passivation,controlled manipulation of front interface,0.82
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,device modeling,device modeling,0.8
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,flexible solar cell,"flexible, low-cost solar",0.78
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,power to weight ratio,high power-to-weight ratio,0.76
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,substrate type,single crystal,0.75
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,theoretical efficiency limit,theoretical studies,0.72
Thermomechanical Cleave of Polycrystalline CdTe Solar Cells and its Applications: A Review,10.1002/solr.202300074,research institution,NREL,0.7
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,outdoor performance ratio,PR (Performance Ratio),0.97
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,power degradation rate,"mc-Si PERC 5.33%, n-type multi-busbar 3.19%, sc-Si PERC 1.32%, monofacial HIT 0.25%",0.97
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,module technology,HIT (heterojunction with intrinsic thin layer),0.95
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,temperature-calibrated performance ratio,PRT = 25°C (PR calibrated to 25 °C),0.95
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,annual average performance ratio,annual average uncalibrated PR (bifacial HIT 1.0345 to CdTe 0.9067),0.95
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,module technology,CIGS,0.93
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,module technology,PERC (Passivated Emitter and Rear Cell),0.93
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,bifacial module,bifacial HIT,0.92
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,light soaking effect,light soaking (power increase of bifacial HIT 0.72%),0.92
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,module technology,CdTe,0.9
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,heterointerface metastability,metastability of amorphous–crystalline silicon heterointerface,0.9
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,module technology,n-type multi-busbar module,0.88
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,monofacial module,monofacial HIT,0.88
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,seasonal performance variation,seasonal cyclic patterns in daily and monthly PR,0.88
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,outdoor reliability,outdoor reliability and degradation of PV modules,0.88
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,power output improvement,power increase of bifacial HIT 0.72% after two years,0.87
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,absorber material,monocrystalline silicon (sc-Si),0.85
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,absorber material,multicrystalline silicon (mc-Si),0.85
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,amorphous silicon layer,amorphous–crystalline silicon heterointerface (HIT structure),0.85
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,outdoor irradiance,intense irradiance (March–May 2018),0.8
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,operating temperature,relative low temperature (March–May 2018),0.8
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,monitoring duration,2016 to 2018 (more than 2 years),0.78
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,installed capacity,more than 30 kW modules,0.75
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,pv grid installation,PV power grid installation,0.72
"Out-door reliability and degradation of HIT, CIGS, n-type multi-busbar, PERC, and CdTe modules in Shanghai, China",10.1016/j.solmat.2021.111490,test location,"Chinese Academy of Sciences – SIMIT, Shanghai",0.7
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,absorber material,CdSeTe,0.95
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,device structure,TCO/MZO/CdSeTe/CdTe/back-contact,0.93
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,buffer layer,MZO (magnesium zinc oxide),0.92
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,device stability,irreversible degradation state (DgS),0.92
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,light soaking state,light-soak state (LSS),0.91
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,dark soaking state,dark-soak state (DSS),0.9
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,buried homojunction,buried homojunction (BHJ),0.9
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,electric field profile,anomalous electric field profiles,0.89
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,potential imaging technique,Kelvin probe force microscopy (KPFM),0.88
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,heterointerface,MZO/CdSeTe heterointerface,0.87
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,device efficiency,best device efficiency (LSS),0.86
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,fill factor,inferior fill factor at the DSS,0.85
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,back contact,back contact,0.83
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,device modeling,COMSOL software modeling,0.82
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,current-voltage characteristics,device current-voltage curves,0.81
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,doping concentration,low n-doped CdSeTe,0.8
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,conduction band offset,conduction band offset spike,0.8
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,reversible transition,reversible transitions between LSS and DSS,0.79
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,spatial resolution,nm-resolution potential imaging,0.77
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,light soaking stress,long-hour light soaking at elevated temperature,0.76
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,transparent conductive oxide,TCO,0.74
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,interface doping loss,loss of MZO doping,0.73
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,secondary absorber layer,CdTe,0.72
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,electric field peak location,electric field peak inside the CdSeTe layer,0.71
Electrical potential investigation of reversible metastability and irreversible degradation of CdTe solar cells,10.1016/j.solmat.2022.111610,thermal stress condition,elevated temperature long-term stress,0.68
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,photovoltaic technology,thin film photovoltaic modules,1.0
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,degradation rate,−4.45%/year (CdTe),0.98
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,degradation rate,−1.04%/year (CIS),0.98
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,module degradation,degradation of PV modules,0.97
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,absorber material,a-Si:H,0.95
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,absorber material,a-Si:H/μc-Si:H (tandem),0.95
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,absorber material,CIS,0.95
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,absorber material,CdTe,0.95
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,outdoor exposure duration,5 years (January 2011 – December 2015),0.92
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,stabilization period,24 months (a-Si:H),0.9
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,stabilization period,6 months (a-Si:H/μc-Si:H),0.9
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,thin film technology,thin film PV,0.9
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,amorphous silicon,a-Si:H,0.9
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,stabilization period,32 months (CdTe),0.88
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,outdoor testing,outdoor long term exposure,0.88
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,microcrystalline silicon,μc-Si:H,0.88
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,module stability,most stable module (CIS),0.87
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,module stability,highest degradation (CdTe),0.87
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,fill factor,fill factor evolution,0.85
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,performance ratio,performance ratio evolution,0.85
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,tandem cell structure,a-Si:H/μc-Si:H tandem,0.85
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,long-term reliability,outdoor long term exposure campaign,0.83
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,degradation analysis method,two different techniques for degradation rate analysis,0.82
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,test location,"Leganés, Spain",0.8
Degradation analysis of thin film photovoltaic modules under outdoor long term exposure in Spanish continental climate conditions,10.1016/j.solener.2016.10.030,exposure period,January 2011 to December 2015,0.78
Analysis of the influence on the performance degradation of CdTe solar cells by the front contact,10.1016/j.tsf.2016.09.052,absorber material,CdTe,1.0
Analysis of the influence on the performance degradation of CdTe solar cells by the front contact,10.1016/j.tsf.2016.09.052,front contact material,transparent conductive oxide (TCO),0.97
Analysis of the influence on the performance degradation of CdTe solar cells by the front contact,10.1016/j.tsf.2016.09.052,device architecture,thin film solar cell,0.95
Analysis of the influence on the performance degradation of CdTe solar cells by the front contact,10.1016/j.tsf.2016.09.052,device stability,stability after aging,0.95
Analysis of the influence on the performance degradation of CdTe solar cells by the front contact,10.1016/j.tsf.2016.09.052,defect distribution,different defects distribution,0.93
Analysis of the influence on the performance degradation of CdTe solar cells by the front contact,10.1016/j.tsf.2016.09.052,contact material variation,different transparent conductive oxides,0.93
Analysis of the influence on the performance degradation of CdTe solar cells by the front contact,10.1016/j.tsf.2016.09.052,degradation mechanism,cell degradation,0.92
Analysis of the influence on the performance degradation of CdTe solar cells by the front contact,10.1016/j.tsf.2016.09.052,defect formation,defects formation after aging,0.92
Analysis of the influence on the performance degradation of CdTe solar cells by the front contact,10.1016/j.tsf.2016.09.052,front contact stability,less stable front contact,0.91
