paper,doi,canonical,paper_term,relevance
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,light scattering,infrared light scattering,0.81
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,planar defect,stacking faults,0.8
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,defect distribution,ring area defect distribution,0.78
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,crystal imaging,infrared tomography,0.77
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,wavelength selection,multi-chroic (multi-wavelength) infrared,0.75
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,defect density,stacking fault density in ring area,0.74
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,bulk silicon defects,bulk defects in CZ silicon,0.73
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,crystal growth defect,growth-induced stacking faults,0.71
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,non-destructive testing,non-destructive infrared tomography,0.68
Study of the Characteristics of Defects in the Oxidation-induced Stacking Fault-Ring Area in Czochralski Silicon Crystals by Multi-chroic Infrared Light Scattering Tomography and Transmission Electron Microscopy,10.1143/JJAP.40.4149,electron microscopy analysis,TEM defect characterization,0.67
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,10.9729/AM.2015.45.4.225,first author,Ning Lu,0.5
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,10.9729/AM.2015.45.4.225,journal name,Applied Microscopy (AM),0.5
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,10.9729/AM.2015.45.4.225,co-author,Jinguo Wang,0.4
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,10.9729/AM.2015.45.4.225,co-author,Juan Pablo Oviedo,0.4
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,10.9729/AM.2015.45.4.225,co-author,Guoda Lian,0.4
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,10.9729/AM.2015.45.4.225,co-author,Moon Jea Kim,0.4
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,10.9729/AM.2015.45.4.225,publication year,2015,0.3
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,10.9729/AM.2015.45.4.225,digital object identifier,10.9729/AM.2015.45.4.225,0.3
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,10.9729/AM.2015.45.4.225,volume number,45,0.2
Atomic Resolution Scanning Transmission Electron Microscopy of Two-Dimensional Layered Transition Metal Dichalcogenides,10.9729/AM.2015.45.4.225,page range,225-9,0.2
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,material system,6H-SiC,1.0
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,slip system,(2110)(0001) slip system,0.97
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,deformation test,deformation tests,0.95
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,deformation mechanism,mechanism for kink formation and crack nucleation/propagation,0.95
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,deformation defect,deformation-induced defects,0.94
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,test temperature range,550°C to 1400°C,0.93
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,kink formation mechanism,mechanism for the formation of deformation kinks,0.93
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,crystal orientation,orientation favourable for activation of (2110)(0001) slip system,0.92
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,deformation microstructure,deformation kinks,0.92
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,planar defect,stacking faults,0.91
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,strain rate,3.1 × 10⁻⁵ s⁻¹,0.9
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,temperature dependence,temperature dependence of deformation mechanism,0.9
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,semiconductor material,silicon carbide (SiC),0.9
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,crack nucleation,nucleation of cracks,0.89
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,test temperature,high-temperature deformation (550–1400°C),0.89
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,fracture feature,cracks,0.88
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,crack propagation,propagation of cracks,0.88
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,slip plane,(0001) basal plane,0.88
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,plastic deformation,deformation,0.87
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,slip direction,[2110] direction,0.86
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,crystal structure,6H polytype (hexagonal SiC),0.85
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,dislocation activity,slip system activation,0.83
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,characterisation method,transmission electron microscopy (TEM),0.8
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,microstructural analysis,post-deformation microscopy observations,0.78
An optical and transmission electron microscopy study of deformation-induced defects in 6H-SiC,10.1080/01418619808241933,characterisation method,optical microscopy,0.75
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,quantum dot material,In0.6Ga0.4As/GaAs,1.0
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,nanostructure geometry,lens shaped quantum dots,1.0
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,characterization technique,high-resolution electron microscopy,0.95
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,imaging mode,on-zone bright-field imaging,0.93
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,simulation method,image simulation,0.92
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,heterostructure type,buried In0.6Ga0.4As/GaAs semiconductor heterostructures,0.9
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,nanostructure type,semiconductor quantum dots,0.9
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,cross-section orientation,〈110〉 cross-section,0.88
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,morphology conclusion,lens-shaped dot in buried heterostructure,0.88
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,imaging direction,[001] on-zone,0.87
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,dot morphology,four edges parallel to 〈100〉,0.85
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,image artifact,square-shaped image from spherical dot,0.84
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,alloy composition,In0.6Ga0.4As ternary alloy,0.83
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,semiconductor system,GaAs,0.82
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,absorber material,In0.6Ga0.4As,0.82
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,dot shape model,spherical quantum dot,0.82
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,dot confinement type,capped quantum dots,0.8
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,indium composition,In0.6 (60% indium fraction),0.8
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,image contrast mechanism,bright-field contrast,0.78
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,crystallographic direction,〈100〉,0.76
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,crystallographic direction,〈110〉,0.75
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,structural characterization,cross-section imaging,0.75
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,dot edge alignment,edges parallel to 〈100〉,0.74
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,image resolution,high-resolution,0.72
Transmission-electron microscopy study of the shape of buried ${\mathrm{In}}_{x}{\mathrm{Ga}}_{1\ensuremath{-}x}\mathrm{A}\mathrm{s}/\mathrm{G}\mathrm{a}\mathrm{A}\mathrm{s}$ quantum dots,10.1103/PhysRevB.58.R4235,heteroepitaxy method,buried heterostructure growth,0.7
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,characterization technique,Transmission Electron Microscopy (TEM),1.0
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,spatial resolution,atomic-resolution real-space imaging,0.95
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,sample material,nanoparticles,0.93
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,nanocrystal morphology,shape-controlled nanocrystals,0.91
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,spectroscopy method,Electron Energy-Loss Spectroscopy (EELS),0.9
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,crystal structure analysis,structural determination,0.88
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,in situ measurement,in situ TEM,0.88
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,surface structure,surface structures,0.87
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,crystal structure,crystal structures,0.86
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,probe size,nanometer size electron probe,0.85
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,structure-property relationship,structure−property relationship,0.85
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,electronic structure,electronic structure of individual nanocrystals,0.84
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,chemical composition mapping,chemical structure identification and quantification,0.83
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,valence state mapping,mapping the valence states,0.82
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,nanomaterial properties,physical and chemical properties of nanophase materials,0.82
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,solid-state effects,solid-state effects,0.8
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,imaging method,real-space imaging,0.8
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,nanoparticle characterization,characterizing individual nanoparticle/structure,0.79
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,nanostructure assembly,nanocrystal assemblies,0.78
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,thermodynamic properties,thermodynamic properties of individual nanostructures,0.77
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,mechanical properties,mechanical properties of individual nanostructures,0.76
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,elemental quantification,identifying and quantifying chemical structure,0.76
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,electrical properties,electric properties of individual nanostructures,0.75
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,nanostructure geometry,individual nanostructures,0.74
Transmission Electron Microscopy of Shape-Controlled Nanocrystals and Their Assemblies,10.1021/jp993593c,material scale,nanophase materials,0.72
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,device architecture,AlGaN/GaN high-electron mobility transistors (HEMTs),1.0
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,degradation mechanism,inverse piezoelectric effect,0.98
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,heterostructure material,AlGaN/GaN,0.97
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,piezoelectric property,inverse piezoelectric effect,0.96
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,physical damage type,crack- and pit-shaped defects,0.95
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,stress condition,dc bias stress,0.93
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,characterization method,transmission electron microscopy (TEM),0.92
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,defect location,drain-side edge of the gate,0.91
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,defect formation,formation of crack- and pit-shaped defects,0.91
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,operating temperature,channel temperature,0.9
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,electrical degradation metric,change in IDmax,0.9
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,device reliability,electrical degradation,0.89
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,crystal material,AlGaN/GaN crystal material,0.88
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,device performance parameter,IDmax (maximum drain current),0.88
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,damage correlation,correlation of physical damage to electrical degradation,0.88
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,stress-induced defect,crack-shaped defects,0.87
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,stress protocol,dc bias at various channel temperatures,0.87
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,stress-induced defect,pit-shaped defects,0.86
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,barrier layer material,AlGaN,0.85
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,channel layer material,GaN,0.85
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,gate structure,gate (drain-side edge),0.82
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,control sample,as-processed unstressed devices,0.8
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,pre-stress measurement,IDmax before stress,0.78
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,post-stress measurement,IDmax after stress,0.78
TEM Observation of Crack- and Pit-Shaped Defects in Electrically Degraded GaN HEMTs,10.1109/LED.2008.2003073,material crystallinity,AlGaN/GaN crystal material,0.75
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,10.1002/smll.201604259,material dimensionality,two-dimensional (2D) ultra-thin materials,0.98
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,10.1002/smll.201604259,characterization technique,transmission electron microscopy (TEM),0.98
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,10.1002/smll.201604259,in situ method,in situ TEM,0.97
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,10.1002/smll.201604259,material class,2D layered materials,0.96
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,10.1002/smll.201604259,structure-property relationship,intrinsic structure–property relationship,0.92
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,10.1002/smll.201604259,material manipulation,dynamic manipulation of nanomaterials,0.9
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,10.1002/smll.201604259,instrument resolution,spatial resolution,0.88
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,10.1002/smll.201604259,material property,dynamic properties,0.88
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,10.1002/smll.201604259,characterization scale,atomic scale,0.87
In Situ Transmission Electron Microscopy Characterization and Manipulation of Two-Dimensional Layered Materials beyond Graphene,10.1002/smll.201604259,fabrication technique,microelectromechanical systems (MEMS),0.85
