paper,doi,canonical,paper_term,relevance
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,finger width,≈190 μm,0.85
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,electrode geometry,metal grid lines / Cu metal fingers,0.85
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,process parameter optimization,optimized laser parameters,0.83
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,finger height,≈20 μm,0.82
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,thermal management,localized heating minimizing thermal stress,0.82
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,finger aspect ratio,≈0.1–0.15,0.8
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,microstructural characterization,"microstructural, elemental, thickness analysis",0.8
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,sintering atmosphere,inert atmospheric conditions,0.78
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,electrical characterization,electrical properties measurement,0.78
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,reference electrode material,silver (Ag),0.75
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,cost advantage,lower cost and greater abundance of Cu vs. Ag,0.75
Photonic Curing of Copper Inks: A Pathway to Scalable Copper Metallization for Solar Cells,10.1002/pssa.202500493,compatible cell technology,tandem devices,0.72
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,solar cell architecture,heterojunction (HJT) solar cells,1.0
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,metallization material,copper-based paste,1.0
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,conductive paste formulation,copper-based paste for screen printing,0.97
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,paste conductor species,copper,0.96
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,conventional metallization material,silver,0.95
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,metallization method,screen printing (SP),0.95
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,material substitution,alternative metallization materials,0.93
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,resource availability,silver consumption,0.9
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,paste characterisation,paste characterisation,0.88
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,resource scarcity,not enough silver available,0.88
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,photovoltaic technology,Photovoltaic applications (PV),0.85
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,cell performance evaluation,solar cell evaluation,0.85
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,module interconnection,interconnection testing,0.82
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,reliability testing,reliability testing,0.82
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,front contact design,metallization,0.8
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,cell interconnection method,interconnection,0.8
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,reference cell technology,PERC solar cells,0.75
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,cell technology comparison,HJT vs PERC vs TOPCon,0.74
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,alternative cell technology,TOPCon,0.72
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,pv market expansion,PV expansions,0.72
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,supply forecast horizon,2050 forecasts,0.7
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,research focus area,alternative solar cell concepts,0.7
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,industry technology roadmap,mainstream PERC solar cells,0.68
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,sustainable technology,greener and environmentally friendly,0.6
Evaluation of different approaches for HJT cells metallization based on low temperature copper paste,10.1063/5.0126222,cell technology adoption,widespread adoption,0.58
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,metallization material,copper (Cu) based metallization paste,0.98
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,metal diffusion,Cu diffusing from the cell surface,0.96
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,cell type,Zebra IBC cell,0.96
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,cell architecture,Zebra IBC (Interdigitated Back Contact),0.95
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,paste formulation,low temperature curable copper based metallization paste,0.95
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,bulk contamination,silicon bulk material contamination,0.94
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,contamination risk,Cu contamination of silicon bulk,0.94
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,reliability test,climate chamber tests,0.93
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,adhesion strength,insufficient adhesion on the substrate surface,0.93
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,metallization feature,busbars,0.92
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,paste adhesion failure,insufficient adhesion,0.92
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,thermal cycling test,TC600 (temperature cycling 600 cycles),0.91
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,damp heat test,DH3000 (damp heat 3000 hours),0.91
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,semiconductor polarity,n-type,0.9
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,reference metallization,silver (Ag) based metallization paste,0.9
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,contact material comparison,Cu vs. Ag busbars,0.9
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,adhesion test method,peel force tests,0.89
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,temperature cycling stress,temperature cycling tests,0.89
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,line resistance,line resistance,0.88
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,degradation mechanism,adhesion failure under temperature cycling,0.88
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,device efficiency,same efficiencies as Ag metallized reference cells,0.87
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,busbar geometry,Cu busbars,0.87
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,curing temperature,low temperature curable,0.85
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,absorber material,silicon,0.82
"Screen printable, non-fire-through copper paste applied as busbar metallization for back contact solar cells",10.1063/5.0127359,substrate material,substrate surface,0.75
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode material,copper (Cu),1.0
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,metallization method,laser-induced selective metallization (LISM),1.0
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,cell architecture,heterojunction solar cells,0.95
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode resistivity,1.98 × 10⁻⁵ Ω.cm,0.95
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,laser processing parameters,"laser parameters (morphology, composition, size, conductivity effects)",0.95
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,metallization selectivity,laser selective metallization,0.95
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,transparent conductive oxide,Indium Tin Oxide (ITO),0.9
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode geometry,copper grid electrodes,0.9
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode conductivity,high conductivity,0.9
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,metallization mechanism,mechanism underlying laser selective metallization,0.9
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,replaced material,silver (Ag),0.85
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,substrate material,silicon wafer,0.85
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,process window,optimal laser parameters,0.85
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode morphology,morphological characteristics of copper electrodes,0.85
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrical properties,electrical properties of electrodes,0.85
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,metallization surface,Indium Tin Oxide surfaces,0.85
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,material cost reduction,low cost / cost-effective,0.8
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,degradation mechanism,copper oxidation susceptibility,0.8
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode performance,high-performance electrodes,0.8
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,contact grid pattern,copper grid,0.8
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode composition,composition of copper electrodes,0.75
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,fabrication scale,large-scale copper electrodes,0.75
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,cell production cost,material costs associated with cell production,0.75
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,electrode size,size of copper electrodes,0.7
Cost-effective fabrication of a high-conductivity copper electrode for heterojunction solar cells via laser-induced selective metallization,10.1364/OE.518575,metallization scalability,efficient and cost-effective solar electrode production,0.7
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,metallization technique,indirect gravure printing,1.0
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,cell architecture,silicon heterojunction (SHJ),0.95
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,device efficiency loss,(1.7 ± 0.5) %abs lower than screen-printed reference,0.92
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,process cycle time,0.9 s cell⁻¹,0.9
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,front grid design,gravure-printed front grids,0.9
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,tandem cell configuration,perovskite Si tandem solar cells,0.88
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,reference metallization,screen printing,0.88
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,photoconversion efficiency,mean photoconversion efficiency,0.88
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,finger shading width,(65 ± 16) μm mean shading width,0.87
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,metal contact geometry,metal contacts (shading width and height),0.86
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,absorber material,silicon (Si),0.85
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,minimum cycle time,0.5 s cell⁻¹,0.85
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,rear contact metallization,gravure-printed rear contacts,0.85
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,finger height,(5 ± 1) μm average height,0.84
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,rear side efficiency loss,0.1 %abs efficiency loss,0.83
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,production cost reduction,reduce costs significantly in PV production,0.82
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,process temperature,low-temperature applications,0.8
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,busbar configuration,busbarless,0.8
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,printing throughput,great throughput (rotary printing),0.8
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,photovoltaic technology,silicon photovoltaics (PV),0.8
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,cell geometry,SHJ half cells,0.78
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,printing tool durability,gravure cylinders with almost no wearing,0.78
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,wafer size,156.75 mm edge length (industrial wafers),0.75
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,device simulation,device simulations,0.75
High-Throughput Indirect Gravure Printing Applied to Low-Temperature Metallization of Silicon-Based High-Efficiency Solar Cells,10.1002/ente.202400066,printing platform,appropriate production platform,0.65
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,printing method,FlexTrail printing,1.0
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,cell architecture,busbarless silicon heterojunction (SHJ) solar cells,0.97
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,metallization technique,direct metallization,0.95
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,front electrode material,silver-nanoparticle-based front electrodes,0.95
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,device efficiency,(22.87 ± 0.01)%,0.93
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,silver consumption,(9.4 ± 0.9) mg per busbarless front grid,0.92
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,silver reduction,more than 60% compared to screen printing,0.91
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,grid design,busbarless front grid,0.88
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,metal ink composition,silver nanoparticle-based fluid,0.88
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,reference metallization,screen printing,0.85
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,absorber material,silicon heterojunction (SHJ),0.85
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,module power output,(5.0 ± 0.1) W,0.83
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,feature size,10 μm and below,0.82
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,interconnection technology,SmartWire Connection Technology,0.82
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,finger count,80 contact fingers,0.8
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,module size,200 mm × 200 mm one-cell module,0.8
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,printing resolution,fine-line printing,0.8
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,fluid viscosity dependence,highly independent of the fluids' viscosity,0.78
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,wafer size,M2+ wafer size,0.76
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,finger length,156 mm,0.75
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,electrode geometry,contact fingers,0.74
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,printed fluid type,"particle-based metal-containing fluids, etchants, and liquid-phase pyrophoric media",0.72
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,module integration,one-cell module,0.72
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,device type,high-power SHJ devices,0.7
FlexTrail Printing as Direct Metallization with Low Silver Consumption for Silicon Heterojunction Solar Cells: Evaluation of Solar Cell and Module Performance,10.1002/ente.202200702,processing scale,beyond cell level,0.65
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,cell architecture,silicon heterojunction solar cell (SHJ SC),1.0
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,contact metallization material,copper (Cu) contact grid,1.0
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,metallization method,electroplating,0.97
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,device efficiency,22.9%,0.97
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,contact formation method,inkjet printing,0.95
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,reference metallization material,silver (Ag) paste,0.95
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,reference fabrication method,screen printing,0.92
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,contact adhesion strength,3–5 N/mm,0.92
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,grid growth mechanism,electroplating growth of Cu contact grid,0.91
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,mask material,protective dielectric mask based on organic polymer,0.9
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,buffer layer material,thin buffer metal layers,0.88
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,mask patterning method,inkjet-printed dielectric mask,0.88
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,cell geometry,double-sided SHJ SC (bifacial),0.87
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,reference device efficiency,22.6%,0.85
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,substrate size,157 × 157 mm²,0.83
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,reference contact adhesion strength,1.5–2 N/mm,0.83
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,polymer mask type,organic polymer dielectric mask,0.82
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,contact grid geometry,contact mesh,0.8
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,cost reduction strategy,alternative to expensive silver-containing pastes,0.78
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,contact material cost,expensive silver-containing (Ag) pastes,0.76
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,absorber material,silicon,0.75
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,comparative analysis scope,various methods of forming Cu contact grid,0.75
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,surface contact layer,contact grid surface adhesion,0.72
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,cell bifaciality,double-sided,0.7
Formation of a Copper Contact Grid on the Surface of Silicon Heterojunction Solar Cells,10.1134/S1063782623090014,contact grid shape control,contact grid of required shape,0.68
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,metallization material,copper (Cu) paste,1.0
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,replaced material,silver (Ag),0.97
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,cell architecture,interdigitated back contact (IBC) solar cell,0.96
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,metallization method,screen printing,0.93
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,device efficiency,average efficiency of 23%,0.92
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,metallization structure,busbars and fingers,0.9
