concept,doc_frequency,mds:studyStage,mds:supplyChainLevel
light source,2,"mds:t, mds:o, mds:o, mds:l",mds:subcomponent
line resistance,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
masking layer material,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
material cost,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:materials
metallization cost,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:subcomponent
metallization technique,2,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:subcomponent
microstructural characterisation,2,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s","mds:materials, mds:subcomponent"
open circuit voltage,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:component
particle morphology,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:materials
particle size,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:materials
passivation method,2,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
paste formulation,2,"mds:f, mds:o, mds:r, mds:m, mds:u, mds:l, mds:a, mds:t, mds:i, mds:o, mds:n",mds:materials
patterning method,2,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
plating process,2,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:subcomponent
printing technology,2,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:subcomponent
process complexity,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subcomponent, mds:component"
process scalability,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subcomponent, mds:system"
process temperature,2,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
processing atmosphere,2,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
reliability test,2,"mds:t, mds:o, mds:o, mds:l","mds:component, mds:subsystem"
replaced material,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:materials
review scope,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
seed layer material,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
short circuit current density,2,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:component
sintering atmosphere,2,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
solar cell architecture,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:component
solar cell type,2,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:component
tandem cell configuration,2,mds:sample,mds:component
wafer size,2,mds:recipe,"mds:materials, mds:subcomponent"
accelerated aging duration,1,mds:recipe,"mds:component, mds:assembly, mds:subsystem"
active area fraction,1,mds:result,"mds:component, mds:assembly"
adhesion improvement,1,mds:materials processing,mds:subcomponent
adhesion quality,1,mds:result,mds:subcomponent
adhesion test method,1,mds:tool,mds:subcomponent
alternative cell technology,1,mds:sample,mds:component
alternative masking material,1,mds:sample,"mds:materials, mds:subcomponent"
alternative metallization,1,mds:sample,mds:subcomponent
alternative metallization method,1,mds:synthesis,mds:subcomponent
annealing technique,1,mds:materials processing,mds:subcomponent
application suitability,1,mds:analysis,"mds:component, mds:assembly, mds:subsystem, mds:system"
aspect ratio,1,mds:result,mds:subcomponent
background plating,1,mds:synthesis,mds:subcomponent
barrier layer,1,mds:sample,mds:subcomponent
barrier layer material,1,mds:sample,"mds:materials, mds:subcomponent"
batch performance,1,mds:results and metadata,"mds:component, mds:assembly"
bilayer contact configuration,1,mds:sample,mds:subcomponent
bottom cell material,1,mds:sample,"mds:materials, mds:subcomponent"
buffer layer material,1,mds:sample,"mds:materials, mds:subcomponent"
bulk contamination,1,mds:result,"mds:materials, mds:subcomponent"
bulk metal resistivity,1,mds:result,mds:materials
bulk resistivity,1,mds:result,"mds:materials, mds:subcomponent"
busbar configuration,1,mds:sample,"mds:subcomponent, mds:component"
busbar geometry,1,mds:recipe,"mds:subcomponent, mds:component"
busbar metallization,1,mds:synthesis,mds:subcomponent
carbon emissions,1,mds:results and metadata,mds:system
carbon footprint,1,mds:results and metadata,mds:system
cation composition,1,mds:result,"mds:materials, mds:subcomponent"
cell active area,1,mds:result,mds:component
cell bifaciality,1,mds:result,mds:component
cell chemistry,1,mds:sample,"mds:materials, mds:subcomponent"
cell compatibility,1,mds:analysis,"mds:component, mds:assembly"
cell configuration,1,mds:sample,mds:component
cell contact type,1,mds:sample,"mds:subcomponent, mds:component"
cell degradation mechanism,1,mds:analysis,mds:component
cell interconnection method,1,mds:materials processing,"mds:component, mds:assembly"
cell metallization material,1,mds:sample,"mds:materials, mds:subcomponent"
cell performance evaluation,1,mds:analysis,mds:component
cell processing sequence,1,mds:materials processing,mds:component
cell production cost,1,mds:results and metadata,mds:component
cell side,1,mds:sample,mds:component
cell structure,1,mds:sample,mds:component
cell technology adoption,1,mds:results and metadata,"mds:component, mds:subsystem, mds:system"
cell technology comparison,1,mds:analysis,mds:component
cell type,1,mds:sample,mds:component
chemical compatibility,1,mds:analysis,"mds:materials, mds:subcomponent"
chemical modifier,1,mds:formulation,mds:materials
chemical reaction method,1,mds:synthesis,mds:materials
commercialization readiness,1,mds:results and metadata,"mds:component, mds:subsystem, mds:system"
comparative analysis scope,1,mds:analysis,"mds:materials, mds:subcomponent, mds:component"
compatible cell technology,1,mds:analysis,mds:component
conducting layer material,1,mds:sample,"mds:materials, mds:subcomponent"
conductive filler,1,mds:formulation,mds:materials
conductive oxide function,1,mds:analysis,mds:subcomponent
conductive paste formulation,1,mds:formulation,mds:materials
conductive trace material,1,mds:sample,"mds:materials, mds:subcomponent"
conductor purity,1,mds:result,mds:materials
contact additive,1,mds:formulation,mds:materials
contact adhesion,1,mds:result,"mds:subcomponent, mds:component"
contact adhesion strength,1,mds:result,"mds:subcomponent, mds:component"
contact finger width,1,mds:result,mds:subcomponent
contact firing optimization,1,mds:analysis,"mds:subcomponent, mds:component"
contact firing process,1,mds:materials processing,"mds:subcomponent, mds:component"
contact formation method,1,mds:synthesis,"mds:subcomponent, mds:component"
contact grid pattern,1,mds:sample,"mds:subcomponent, mds:component"
contact grid shape control,1,mds:materials processing,"mds:subcomponent, mds:component"
contact material comparison,1,mds:analysis,"mds:materials, mds:subcomponent"
contact material cost,1,mds:results and metadata,mds:materials
contact metallization,1,mds:synthesis,"mds:subcomponent, mds:component"
contact metallization material,1,mds:sample,"mds:materials, mds:subcomponent"
contact metallization method,1,mds:synthesis,"mds:subcomponent, mds:component"
contact reliability,1,mds:result,"mds:subcomponent, mds:component"
contact resistivity baseline,1,mds:result,mds:subcomponent
contact resistivity target,1,mds:results and metadata,mds:subcomponent
contact stability,1,mds:result,"mds:subcomponent, mds:component"
contact type,1,mds:sample,"mds:subcomponent, mds:component"
contamination risk,1,mds:analysis,"mds:materials, mds:subcomponent, mds:component"
conventional metallization material,1,mds:sample,"mds:materials, mds:subcomponent"
conversion efficiency metric,1,mds:result,mds:component
cost advantage,1,mds:results and metadata,mds:system
cost reduction strategy,1,mds:results and metadata,mds:system
curing atmosphere,1,mds:recipe,mds:subcomponent
curing duration,1,mds:recipe,mds:subcomponent
current collection efficiency,1,mds:result,mds:component
damp heat humidity,1,mds:recipe,mds:component
damp heat test,1,mds:materials processing,"mds:component, mds:subsystem"
damp heat test temperature,1,mds:recipe,"mds:component, mds:subsystem"
debris formation,1,mds:result,mds:subcomponent
deposition rate,1,mds:recipe,mds:subcomponent
device efficiency loss,1,mds:result,mds:component
device optimization,1,mds:analysis,mds:component
device performance,1,mds:result,mds:component
device simulation,1,mds:modeling,mds:component
device stability,1,mds:result,mds:component
diffusion barrier,1,mds:sample,mds:subcomponent
dopant ion,1,mds:sample,mds:materials
drop deposition parameter,1,mds:recipe,mds:subcomponent
drop separation,1,mds:recipe,mds:subcomponent
efficiency limitation,1,mds:analysis,mds:component
electrical characterization,1,mds:tool,mds:component
electrical contact,1,mds:sample,mds:subcomponent
electrical parameters,1,mds:result,mds:component
electrical performance,1,mds:result,mds:component
electrical properties,1,mds:result,"mds:subcomponent, mds:component"
electrode application,1,mds:materials processing,mds:subcomponent
electrode composition,1,mds:sample,mds:subcomponent
electrode conductivity,1,mds:result,mds:subcomponent
electrode grid material,1,mds:sample,mds:subcomponent
electrode height deviation,1,mds:result,mds:subcomponent
electrode metal,1,mds:sample,"mds:materials, mds:subcomponent"
electrode morphology,1,mds:result,mds:subcomponent
electrode performance,1,mds:result,mds:subcomponent
electrode resistivity,1,mds:result,mds:subcomponent
electrode size,1,mds:recipe,mds:subcomponent
elemental analysis method,1,mds:tool,"mds:materials, mds:subcomponent"
emitter layer material,1,mds:sample,mds:subcomponent
encapsulation method,1,mds:materials processing,"mds:component, mds:subsystem"
energy conversion mechanism,1,mds:analysis,mds:component
energy demand,1,mds:results and metadata,mds:system
energy window,1,mds:recipe,mds:subcomponent
environmental impact,1,mds:results and metadata,mds:system
fabrication process,1,mds:materials processing,"mds:subcomponent, mds:component"
fabrication scale,1,mds:results and metadata,"mds:component, mds:subsystem, mds:system"
feature geometry,1,mds:result,"mds:subcomponent, mds:component"
feature size,1,mds:result,"mds:subcomponent, mds:component"
filler loading,1,mds:formulation,mds:materials
film conductivity,1,mds:result,mds:subcomponent
film formation method,1,mds:synthesis,mds:subcomponent
film stability,1,mds:result,mds:subcomponent
film type,1,mds:sample,mds:subcomponent
finger count,1,mds:recipe,mds:component
finger length,1,mds:recipe,mds:component
finger metallization,1,mds:materials processing,"mds:subcomponent, mds:component"
finger shading width,1,mds:result,mds:component
firing peak temperature,1,mds:recipe,"mds:subcomponent, mds:component"
fluid viscosity dependence,1,mds:analysis,mds:materials
front contact design,1,mds:sample,mds:component
front contact metallization,1,mds:materials processing,"mds:subcomponent, mds:component"
front contact paste,1,mds:formulation,mds:materials
front electrode material,1,mds:sample,mds:subcomponent
front grid design,1,mds:sample,mds:component
front metallization,1,mds:materials processing,"mds:subcomponent, mds:component"
front surface layer,1,mds:sample,mds:subcomponent
front-side metallization,1,mds:materials processing,"mds:subcomponent, mds:component"
geometric fill factor,1,mds:result,mds:component
grid design,1,mds:sample,mds:component
grid growth mechanism,1,mds:analysis,mds:subcomponent
grid line width,1,mds:result,"mds:subcomponent, mds:component"
gridline geometry,1,mds:result,"mds:subcomponent, mds:component"
gridline resistance,1,mds:result,"mds:subcomponent, mds:component"
halide ratio,1,mds:formulation,mds:materials
heating duration,1,mds:recipe,mds:subcomponent
heterojunction interface,1,mds:sample,mds:subcomponent
impurity diffusion,1,mds:materials processing,mds:subcomponent
industrial printing process,1,mds:materials processing,"mds:component, mds:subsystem"
industrialization stage,1,mds:results and metadata,mds:system
industry scalability,1,mds:results and metadata,mds:system
industry technology,1,mds:results and metadata,mds:system
industry technology roadmap,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
ink particle morphology,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:materials
ink solvent,1,"mds:f, mds:o, mds:r, mds:m, mds:u, mds:l, mds:a, mds:t, mds:i, mds:o, mds:n",mds:materials
ink type,1,"mds:f, mds:o, mds:r, mds:m, mds:u, mds:l, mds:a, mds:t, mds:i, mds:o, mds:n",mds:materials
interconnect fabrication,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:assembly, mds:subsystem"
interconnection technology,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:assembly, mds:subsystem"
interface characterization method,1,"mds:t, mds:o, mds:o, mds:l",mds:subcomponent
interface morphology,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
irradiation type,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
lab scale data,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:component
laboratory cell performance,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:component
laser processing parameters,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:subcomponent, mds:component"
laser pulse duration,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:subcomponent, mds:component"
laser scribing,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:subcomponent, mds:component"
laser transfer process,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
laser type,1,"mds:t, mds:o, mds:o, mds:l","mds:subcomponent, mds:component"
lateral carrier transport,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:subcomponent, mds:component"
layer optimization tradeoff,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s",mds:subcomponent
layer patterning,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
layer treatment,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
light absorption loss,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:subcomponent, mds:component"
light source type,1,"mds:t, mds:o, mds:o, mds:l",mds:component
line quality,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
line resistance change,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
line resistivity,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
line resolution,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
majority carrier type,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:subcomponent, mds:component"
manufacturing approach,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:component, mds:assembly, mds:subsystem"
manufacturing process,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:component, mds:assembly, mds:subsystem"
manufacturing scalability,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subsystem, mds:system"
manufacturing technology,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:component, mds:assembly, mds:subsystem"
manufacturing throughput,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subsystem, mds:system"
market context,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
mask material,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
mask patterning method,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
masking layer,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
masking layer deposition,1,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:subcomponent
masking layer deposition method,1,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:subcomponent
masking layer thickness,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
masking technique,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
mass production process,1,mds:materials processing,mds:system
material consumption,1,mds:results and metadata,mds:materials
material cost reduction,1,mds:results and metadata,mds:materials
material substitution,1,mds:formulation,mds:materials
material substitution strategy,1,mds:analysis,mds:materials
material supply risk,1,mds:results and metadata,mds:materials
mechanical adhesion method,1,mds:materials processing,mds:subcomponent
metal conductivity,1,mds:result,"mds:materials, mds:subcomponent"
metal contact geometry,1,mds:recipe,"mds:subcomponent, mds:component"
metal diffusion,1,mds:materials processing,mds:subcomponent
metal diffusion risk,1,mds:analysis,"mds:subcomponent, mds:component"
metal ink composition,1,mds:formulation,mds:materials
metal layer stack,1,mds:sample,mds:subcomponent
metal paste formulation,1,mds:formulation,mds:materials
metal precursor,1,mds:sample,mds:materials
metallization approach,1,mds:synthesis,mds:subcomponent
metallization configuration,1,mds:recipe,"mds:subcomponent, mds:component"
metallization feature,1,mds:sample,mds:subcomponent
metallization mechanism,1,mds:analysis,mds:subcomponent
metallization scalability,1,mds:results and metadata,"mds:subcomponent, mds:system"
metallization scheme,1,mds:recipe,"mds:subcomponent, mds:component"
metallization selectivity,1,mds:result,mds:subcomponent
metallization structure,1,mds:sample,mds:subcomponent
metallization surface,1,mds:sample,mds:subcomponent
metallization technology,1,mds:synthesis,"mds:subcomponent, mds:component"
microstructural characterization,1,mds:tool,"mds:materials, mds:subcomponent"
microstructure characterisation,1,mds:tool,"mds:materials, mds:subcomponent"
minimum cycle time,1,mds:recipe,mds:system
module area,1,mds:result,mds:subsystem
module geometry,1,mds:recipe,mds:subsystem
module integration,1,mds:materials processing,mds:subsystem
module interconnection,1,mds:sample,"mds:assembly, mds:subsystem"
module power output,1,mds:result,mds:subsystem
module size,1,mds:result,mds:subsystem
module type,1,mds:sample,mds:subsystem
multifunctional layer,1,mds:sample,mds:subcomponent
nano-to-micro particle ratio,1,mds:recipe,mds:materials
nanoparticle sintering,1,mds:materials processing,"mds:materials, mds:subcomponent"
nanoparticle type,1,mds:sample,mds:materials
noble metal content,1,mds:result,mds:materials
optical properties,1,mds:result,"mds:materials, mds:subcomponent, mds:component"
optimal curing conditions,1,mds:recipe,mds:subcomponent
opto-chemical mechanism,1,mds:analysis,"mds:materials, mds:subcomponent"
opto-thermal mechanism,1,mds:analysis,"mds:materials, mds:subcomponent"
oxidation challenge,1,mds:analysis,"mds:materials, mds:subcomponent"
oxidation resistance,1,mds:result,"mds:materials, mds:subcomponent"
parasitic absorption,1,mds:result,"mds:subcomponent, mds:component"
particle oxide shell thickness,1,mds:result,mds:materials
particle size scale,1,mds:result,mds:materials
passivation layer,1,mds:sample,mds:subcomponent
paste adhesion failure,1,mds:result,mds:subcomponent
paste characterisation,1,mds:analysis,mds:materials
paste composition,1,mds:formulation,mds:materials
paste conductor species,1,mds:formulation,mds:materials
paste formulation method,1,mds:formulation,mds:materials
paste particle morphology,1,mds:result,mds:materials
paste-screen interaction,1,mds:analysis,"mds:materials, mds:subcomponent"
pattern transfer substrate,1,mds:sample,mds:subcomponent
patterning technique,1,mds:materials processing,mds:subcomponent
performance metric,1,mds:results and metadata,"mds:component, mds:subsystem, mds:system"
perovskite composition,1,mds:formulation,mds:materials
photovoltaic industry,1,mds:results and metadata,mds:system
photovoltaic production,1,mds:results and metadata,"mds:subsystem, mds:system"
plating inhibition,1,mds:analysis,mds:subcomponent
plating selectivity,1,mds:result,mds:subcomponent
plating uniformity,1,mds:result,mds:subcomponent
polymer mask type,1,mds:sample,"mds:materials, mds:subcomponent"
post-processing step,1,mds:materials processing,"mds:subcomponent, mds:component"
pressing process,1,mds:materials processing,"mds:subcomponent, mds:component"
print quality,1,mds:result,mds:subcomponent
printability,1,mds:result,"mds:materials, mds:subcomponent"
printed electrode properties,1,mds:result,mds:subcomponent
printed electronics,1,mds:sample,"mds:subcomponent, mds:component"
printed electronics substrate,1,mds:sample,mds:subcomponent
printed fluid type,1,mds:formulation,mds:materials
printed line width,1,mds:result,mds:subcomponent
printhead type,1,mds:tool,mds:subcomponent
printing method,1,mds:materials processing,mds:subcomponent
printing parameter,1,mds:recipe,mds:subcomponent
printing platform,1,mds:tool,mds:subcomponent
printing process mechanics,1,,
printing process trade-off,1,,
printing resolution,1,,
printing speed,1,,
printing throughput,1,,
printing tool durability,1,,
process challenge,1,,
process compatibility,1,,
process cost,1,,
process cycle time,1,,
process duration,1,,
process evolution,1,,
process feasibility,1,,
process optimization,1,,
process orientation,1,,
process parameter,1,,
process parameter optimization,1,,
process reliability,1,,
process reproducibility,1,,
process sequence,1,,
process speed,1,,
process throughput,1,,
process uniformity,1,,
process window,1,,
processing method,1,,
processing scale,1,,
processing speed,1,,
processing technique,1,,
processing temperature,1,,
processing tool,1,,
product cost reduction,1,,
production cost,1,,
production cost reduction,1,,
productivity improvement,1,,
proof of concept device,1,,
pulse amplitude,1,,
pulse frequency,1,,
pulsed light processing,1,,
pv market expansion,1,,
rear contact layer,1,,
rear contact metallization,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
rear side efficiency loss,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:component
reductant species,1,"mds:f, mds:o, mds:r, mds:m, mds:u, mds:l, mds:a, mds:t, mds:i, mds:o, mds:n",mds:materials
reference architecture,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:component
